Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
96460,0552146293,9780552146296,4,,19/08/2014,paperback,read,,,,1,
18660669,,,3,2/06/2015,19/08/2014,paperback,read,,,,1,
18247324,,,3,13/04/2015,19/08/2014,paperback,read,,,,1,
61938,0517086034,9780517086032,4,,19/08/2014,paperback,read,,,,1,
2282133,,,3,3/06/2015,19/08/2014,paperback,read,,,,1,
61959,0552137642,9780552137645,4,,19/08/2014,paperback,read,,,,1,
140097,0425217299,9780425217290,4,,19/08/2014,paperback,read,,,,1,
6344832,0425230155,9780425230152,4,,19/08/2014,paperback,read,,,,1,
301082,0441008534,9780441008537,4,,19/08/2014,paperback,read,,,,1,
110494,1841493007,9781841493008,4,,19/08/2014,paperback,read,,,,1,
140082,1841493015,9781841493015,4,,19/08/2014,paperback,read,,,,1,
140078,0425212033,9780425212035,4,,19/08/2014,paperback,read,,,,1,
140075,0441014941,9780441014941,4,,19/08/2014,paperback,read,,,,1,
74045,0553589598,9780553589597,3,,19/08/2014,paperback,read,,,,1,
74043,055358846X,9780553588460,3,,19/08/2014,paperback,read,,,,1,
2072153,0553591142,9780553591149,3,,19/08/2014,paperback,read,,,,1,
189359,1893896846,9781893896840,0,,19/08/2014,paperback,read,,,,1,
3865030,0553591150,9780553591156,3,,19/08/2014,paperback,read,,,,1,
189360,055358961X,9780553589610,3,,19/08/2014,paperback,read,,,,1,
6076380,0553591169,9780553591163,3,,19/08/2014,paperback,read,,,,1,
74046,0553588478,9780553588477,3,,19/08/2014,paperback,read,,,,1,
58077,0425212890,9780425212899,4,,19/08/2014,paperback,read,,,,1,
6986858,,,3,,19/08/2014,paperback,read,,,,1,
172764,0553588451,9780553588453,3,,19/08/2014,paperback,read,,,,1,
22838025,1921880287,9781921880285,4,23/07/2015,19/08/2014,paperback,read,,,,1,
125926,0553590154,9780553590159,0,,19/08/2014,paperback,read,,,,1,
11918,0452286034,9780452286030,0,,19/08/2014,paperback,read,,,,1,
11915,0553588184,9780553588187,0,,19/08/2014,paperback,read,,,,1,
21970091,140915517X,9781409155171,5,24/08/2014,19/08/2014,paperback,read,,,,1,
