Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count
13362937,"52 Small Changes: One Year to a Happier, Healthier You",Brett Blumenthal,"Blumenthal, Brett",,,,0,3.39,Lake Union Publishing,Kindle Edition,380,2011,2011,,19/08/2014,"to-read, ebook","to-read (#54), ebook (#48)",to-read,,0
16158978,"Priceless (Rylee Adamson, #1)",Shannon Mayer,"Mayer, Shannon",,,,0,3.96,HiJinks Ink Publishing,Kindle Edition,268,2012,2012,,19/08/2014,ebook,ebook (#43),read,,1
17829214,"Raising Innocence (Rylee Adamson, #3)",Shannon Mayer,"Mayer, Shannon",,,,0,4.15,HiJinks Ink Publishing,Kindle Edition,266,2013,2013,,19/08/2014,ebook,ebook (#45),read,,1
13477977,The Hitman's Guide to Housecleaning,Hallgrímur Helgason,"Helgason, Hallgrímur",,,,0,3.29,AmazonCrossing,Kindle Edition,257,2012,2008,,19/08/2014,ebook,ebook (#49),read,,1
19409366,"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,"Chainani, Soman",,,,4,4.02,HarperCollinsChildren’sBooks,Kindle Edition,496,2013,2013,,19/08/2014,ebook,ebook (#50),read,,1
13572628,"Frozen Heat (Nikki Heat, #4)",Richard Castle,"Castle, Richard",,,,4,3.99,Hyperion,Kindle Edition,315,2012,2012,,19/08/2014,ebook,ebook (#51),read,,1
10790376,"A Modern Witch (A Modern Witch, #1)",Debora Geary,"Geary, Debora",,,,0,3.75,Fireweed Publishing,Kindle Edition,420,2011,2011,,19/08/2014,"to-read, ebook","to-read (#51), ebook (#41)",to-read,,0
15753965,"Dark Isle (Celtic Legacy, #2)",Shannon Mayer,"Mayer, Shannon",,,,0,3.83,HiJinks Ink,Kindle Edition,148,2012,2012,,19/08/2014,"to-read, ebook","to-read (#45), ebook (#35)",to-read,,0
16055884,"Dark Fae (Celtic Legacy, #3)",Shannon Mayer,"Mayer, Shannon",,,,0,3.89,HiJinks Ink,Kindle Edition,132,2012,2012,,19/08/2014,"to-read, ebook","to-read (#46), ebook (#36)",to-read,,0
12152218,"A Hidden Witch (A Modern Witch, #2)",Debora Geary,"Geary, Debora",,,,0,4.01,Fireweed Publishing,Kindle Edition,300,2011,2011,,19/08/2014,"to-read, ebook","to-read (#47), ebook (#37)",to-read,,0
13359958,"Dark Waters (Celtic Legacy, #1)",Shannon Mayer,"Mayer, Shannon",,,,0,3.59,HiJinks Ink Publishing,Kindle Edition,156,,2011,,19/08/2014,"to-read, ebook","to-read (#48), ebook (#38)",to-read,,0
13110002,"A Reckless Witch (A Modern Witch, #3)",Debora Geary,"Geary, Debora",,,,0,4.2,Fireweed Publishing,Kindle Edition,304,2011,2011,,19/08/2014,"to-read, ebook","to-read (#50), ebook (#40)",to-read,,0
19132828,"Freedom's Choice (Catteni, #2)",Anne McCaffrey,"McCaffrey, Anne",,,,0,3.92,Transworld Digital,Kindle Edition,420,2012,1997,6/09/2014,19/08/2014,ebook,ebook (#27),read,,1
19509199,"Freedom's Ransom (Catteni, #4)",Anne McCaffrey,"McCaffrey, Anne",,,,0,3.94,Transworld Digital,Kindle Edition,368,2012,2002,1/11/2014,19/08/2014,ebook,ebook (#28),read,,1
19383302,"Freedom's Challenge (Catteni, #3)",Anne McCaffrey,"McCaffrey, Anne",,,,0,3.94,Transworld Digital,Kindle Edition,354,2012,1998,1/11/2014,19/08/2014,ebook,ebook (#29),read,,1
17061801,"Freedom's Landing (Catteni, #1)",Anne McCaffrey,"McCaffrey, Anne",,,,0,3.94,Transworld Digital,Kindle Edition,386,2012,1995,1/08/2014,19/08/2014,ebook,ebook (#30),read,,1
18586586,"Blind Salvage (Rylee Adamson, #5)",Shannon Mayer,"Mayer, Shannon",,,,0,4.21,"HiJinks Ink Publishing, Ltd.",Kindle Edition,240,2013,2013,,19/08/2014,ebook,ebook (#26),read,,1
17841367,"The Hit (Will Robie, #2)",David Baldacci,"Baldacci, David",,,,0,4.08,Macmillan,Kindle Edition,400,2013,2013,,19/08/2014,"to-read, ebook","to-read (#39), ebook (#31)",to-read,,0
18619700,"Never Go Back (Jack Reacher, #18)",Lee Child,"Child, Lee",,,,0,4.04,Transworld Digital ,Kindle Edition,417,2013,2013,,19/08/2014,"to-read, ebook","to-read (#37), ebook (#24)",to-read,,0
15919624,"Witches in Flight (Witchlight Trilogy, #3)",Debora Geary,"Geary, Debora",,,,0,4.36,Fireweed Publishing,Kindle Edition,413,2012,2012,,19/08/2014,"to-read, ebook","to-read (#34), ebook (#17)",to-read,,0
18757046,Quiet Influence: The Introvert's Guide to Making a Difference,Jennifer B. Kahnweiler,"Kahnweiler, Jennifer B.",,,,0,3.86,Berrett-Koehler Publishers,Kindle Edition,193,2013,2013,,19/08/2014,"to-read, ebook","to-read (#36), ebook (#18)",to-read,,0
11398114,"Echo Burning (Jack Reacher, #5)",Lee Child,"Child, Lee",,,,0,4,,Kindle Edition,580,,2001,28/10/2015,19/08/2014,ebook,ebook (#20),read,,1
19738287,The Visitor: (Jack Reacher 4),Lee Child,"Child, Lee",,,,0,4.09,Transworld Digital,Kindle Edition,516,2008,2000,23/10/2015,19/08/2014,ebook,ebook (#21),read,,1
20737927,"Tracker (Rylee Adamson, #6)",Shannon Mayer,"Mayer, Shannon",,,,0,4.3,HiJinks Ink Publishing,Kindle Edition,270,2014,2014,12/12/2014,19/08/2014,ebook,ebook (#12),read,,1
11397923,"Tripwire (Jack Reacher, #3)",Lee Child,"Child, Lee",,,,0,4.09,,Kindle Edition,417,,1999,13/10/2015,19/08/2014,ebook,ebook (#22),read,,1
16147088,The Outsiders,S.E. Hinton,"Hinton, S.E.",,,,0,4.08,Speak ,Kindle Edition,196,2012,1967,,19/08/2014,"to-read, ebook","to-read (#31), ebook (#13)",to-read,,0
12694897,"Witches on Parole (WitchLight Trilogy, #1)",Debora Geary,"Geary, Debora",,,,0,4.25,Fireweed Publishing,Kindle Edition,421,2011,2011,,19/08/2014,"to-read, ebook","to-read (#32), ebook (#14)",to-read,,0
18806548,The Introvert's Way: Living a Quiet Life in a Noisy World,Sophia Dembling,"Dembling, Sophia",,,,0,3.68,Perigee,Kindle Edition,208,2012,2012,1/11/2015,19/08/2014,ebook,ebook (#15),read,,1
18189614,Introductions (The Ghost Bird #1),C.L. Stone,"Stone, C.L.",,,,0,4.11,Arcato Publishing,Kindle Edition,276,2012,2012,13/04/2015,19/08/2014,ebook,ebook (#5),read,,1
11757653,How I Stole Johnny Depp's Alien Girlfriend,Gary Ghislain,"Ghislain, Gary",,,,0,3.45,Chronicle Books,Kindle Edition,177,2011,2011,,19/08/2014,"to-read, ebook","to-read (#29), ebook (#11)",to-read,,0
18895759,"The Fire Mage Trilogy Complete Box Set (Fire Mage, #1-3)",Kate Bloomfield,"Bloomfield, Kate",,,,0,3.61,,Kindle Edition,930,2013,2013,,19/08/2014,"to-read, ebook","to-read (#27), ebook (#6)",to-read,,0
19384534,"Alex (Rylee Adamson, #5.5)",Shannon Mayer,"Mayer, Shannon",,,,0,4.3,HiJinks Ink Publishing,Kindle Edition,55,2013,2013,13/12/2014,19/08/2014,ebook,ebook (#8),read,,1
22598785,Learn How to Crochet Quick and Easy / Crochet Patterns for Beginners / Crochet Stitches for Beginners,Amy Wright,"Wright, Amy",,,,0,3.76,Crochet Patterns,Kindle Edition,259,2014,2014,,19/08/2014,"to-read, ebook","to-read (#28), ebook (#9)",to-read,,0
22011012,"Veiled Threat (Rylee Adamson, #7)",Shannon Mayer,"Mayer, Shannon",,,,0,4.3,"HiJinks Ink Publishing, Ltd.",Kindle Edition,285,2014,2015,14/12/2014,19/08/2014,ebook,ebook (#7),read,,1
19040974,"Deadly Heat (Nikki Heat, #5)",Richard Castle,"Castle, Richard",,,,0,3.97,Titan Books,Kindle Edition,303,2013,2013,,19/08/2014,ebook,ebook (#10),read,,1
24061324,"The Sending (The Obernewtyn Chronicles, #6)",Isobelle Carmody,"Carmody, Isobelle",,0143567470,9780143567479,0,4.12,Penguin Group (Australia),Paperback,755,2013,2011,,29/11/2015,"to-read, paperback","to-read (#202), paperback (#153)",to-read,,0
13130788,"The Red Queen (The Obernewtyn Chronicles, #7)",Isobelle Carmody,"Carmody, Isobelle",,0670076406,9780670076406,0,3.71,Viking Australia,Paperback,1120,2015,2015,,29/11/2015,"to-read, paperback","to-read (#203), paperback (#154)",to-read,,0
589076,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,0439944686,9780439944687,0,4.09,Knopf Books for Young Readers,Paperback,544,2007,2000,,26/11/2015,"to-read, paperback","to-read (#196), paperback (#151)",to-read,,0
40342,"Two for the Dough (Stephanie Plum, #2)",Janet Evanovich,"Evanovich, Janet",,0312948964,9780312948962,0,4.11,St. Martin's Press,Paperback,325,2007,1996,,6/05/2015,"to-read, paperback","to-read (#175), paperback (#142)",to-read,,0
527790,"High Five (Stephanie Plum, #5)",Janet Evanovich,"Evanovich, Janet",,0312971346,9780312971342,0,4.18,St. Martin's Press,Mass Market Paperback,317,2000,1999,,6/05/2015,"to-read, paperback","to-read (#178), paperback (#145)",to-read,,0
10233456,"The Spirit Rebellion (The Legend of Eli Monpress, #2)",Rachel Aaron,"Aaron, Rachel",,035650011X,9780356500119,0,4.04,Orbit,Paperback,320,2010,2010,,26/11/2015,"to-read, paperback","to-read (#192), paperback (#147)",to-read,,0
9434131,"The Spirit Thief (The Legend of Eli Monpress, #1)",Rachel Aaron,"Aaron, Rachel",,0356500101,9780356500102,0,3.88,Orbit,Paperback,310,2010,2010,,26/11/2015,"to-read, paperback","to-read (#191), paperback (#146)",to-read,,0
9732866,"The Spirit Eater (The Legend of Eli Monpress, #3)",Rachel Aaron,"Aaron, Rachel",,0356500128,9780356500126,0,4.08,Orbit,Paperback,422,2010,2010,,26/11/2015,"to-read, paperback","to-read (#193), paperback (#148)",to-read,,0
827968,"Northern Lights (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,043994466X,9780439944663,0,3.97,Scholastic,Paperback,448,2007,1995,,26/11/2015,"to-read, paperback","to-read (#194), paperback (#149)",to-read,,0
599593,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,0439944678,9780439944670,0,4.13,Scholastic,Paperback,368,2007,1997,,26/11/2015,"to-read, paperback","to-read (#195), paperback (#150)",to-read,,0
7739723,"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,"Fforde, Jasper",,0340963050,9780340963050,0,4.14,Hodder,Paperback,432,2011,2009,,16/01/2015,"to-read, paperback","to-read (#161), paperback (#139)",to-read,,0
13596166,Joyland,Stephen King,"King, Stephen",Glen Orbik,1781162646,9781781162644,0,3.91,Hard Case Crime,Paperback,283,2013,2013,,6/11/2014,"to-read, paperback","to-read (#80), paperback (#137)",to-read,,0
10871740,Blackveil,Kristen Britain,"Britain, Kristen",,0575099658,9780575099654,0,4.17,Gollancz,Paperback,664,2012,2011,,23/10/2014,"to-read, paperback","to-read (#74), paperback (#131)",to-read,,0
16082686,"Touch of Power (Healer, #1)",Maria V. Snyder,"Snyder, Maria V.",,,9781921797989,0,4.15,,,390,2012,2011,,19/08/2014,"to-read, paperback","to-read (#21), paperback (#125)",to-read,,0
15703515,Two Weeks' Notice (Revivalist #2),Rachel Caine,"Caine, Rachel",,0143567039,9780143567035,0,3.92,Penguin Australia,Paperback,324,2012,2012,,24/08/2012,"to-read, paperback","to-read (#1), paperback (#122)",to-read,,0
16129491,Scent of Magic  (Healer #2),Maria V. Snyder,"Snyder, Maria V.",,1743562403,9781743562406,0,4.12,HarlequinTeen Australia,Paperback,414,2013,2012,,19/08/2014,"to-read, paperback","to-read (#22), paperback (#126)",to-read,,0
18172465,"A World Without Princes (The School for Good and Evil, #2)",Soman Chainani,"Chainani, Soman",,0062104926,9780062104922,3,4.08,HarperCollins,Hardcover,433,2014,2014,22/11/2015,22/11/2015,paperback,paperback (#114),read,,1
24374784,"Shadow Study (Soulfinders, #1)",Maria V. Snyder,"Snyder, Maria V.",,,,4,4.08,Harlequin Teen,Kindle Edition,416,2015,2015,21/04/2015,2/03/2015,paperback,paperback (#111),read,,1
1809343,"Ashling (The Obernewtyn Chronicles, #3)",Isobelle Carmody,"Carmody, Isobelle",,0140271511,9780140271515,4,4.17,Penguin Books,Paperback,524,2007,1995,30/11/2015,26/11/2015,paperback,paperback (#118),read,,1
1961316,"The Farseekers (The Obernewtyn Chronicles, #2)",Isobelle Carmody,"Carmody, Isobelle",,0140134050,9780140134056,4,4.13,Penguin Books,Paperback,312,1997,1990,27/11/2015,26/11/2015,paperback,paperback (#117),read,,1
13488299,"Obernewtyn (Obernewtyn Chronicles, #1)",Isobelle Carmody,"Carmody, Isobelle",,,9780140178548,4,3.96,Penguin Australia,Paperback,245,2007,1987,26/11/2015,26/11/2015,paperback,paperback (#116),read,,1
23398746,"Otherworld Secrets (Otherworld Stories, #4)",Kelley Armstrong,"Armstrong, Kelley",,0452298350,9780452298354,5,4.16,Plume,Paperback,416,2016,2015,25/11/2015,25/11/2015,paperback,paperback (#28),read,,1
18004320,"The Last Ever After (The School for Good and Evil, #3)",Soman Chainani,"Chainani, Soman",,0062104950,9780062104953,4,4.3,HarperCollins,Hardcover,655,2015,2015,24/11/2015,22/11/2015,paperback,paperback (#115),read,,1
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0545010225,9780545010221,3,4.62,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,21/06/2015,19/08/2014,paperback,paperback (#101),read,,1
840935,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"Evanovich, Janet",,0140252924,9780140252927,3,4.04,Penguin,Mass Market Paperback,290,1996,1994,22/11/2014,21/11/2014,paperback,paperback (#107),read,,1
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439785960,9780439785969,3,4.56,Scholastic Inc.,Paperback,652,2006,2005,17/06/2015,19/08/2014,paperback,paperback (#100),read,,1
5996209,"Thorn Queen (Dark Swan, #2)",Richelle Mead,"Mead, Richelle",,0553819879,9780553819878,4,4.12,Bantam,Mass Market Paperback,480,2009,2008,,19/08/2014,paperback,paperback (#95),read,,1
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439064864,9780439064866,3,4.41,Arthur A. Levine Books / Scholastic Inc.,Hardcover,341,1999,1998,26/05/2015,19/08/2014,paperback,paperback (#96),read,,1
